<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GAZP;60;20190423;160000;163.0200000;163.1200000;162.3500000;162.5900000;2433800
GAZP;60;20190423;170000;162.5700000;162.5900000;161.1000000;161.2800000;3035040
GAZP;60;20190423;180000;161.2500000;161.6400000;160.9100000;161.3600000;1972930
GAZP;60;20190423;190000;161.3900000;162.4200000;161.3300000;162.4200000;2471860
GAZP;60;20190424;110000;162.9300000;163.0700000;161.1800000;161.6700000;5157930
GAZP;60;20190424;120000;161.6700000;161.9200000;161.2200000;161.6000000;1263910
GAZP;60;20190424;130000;161.5600000;161.7400000;161.0900000;161.6400000;946510
GAZP;60;20190424;140000;161.6400000;161.7500000;160.6500000;160.9000000;1495420
GAZP;60;20190424;150000;160.9200000;160.9800000;160.5600000;160.7900000;777770
GAZP;60;20190424;160000;160.7700000;161.0900000;160.6400000;160.7100000;1081890
GAZP;60;20190424;170000;160.7100000;161.0400000;159.2900000;159.6000000;4865280
GAZP;60;20190424;180000;159.6400000;160.5500000;159.1800000;160.3600000;3588800
GAZP;60;20190424;190000;160.3400000;160.9300000;159.6300000;160.5700000;6536600
GAZP;60;20190425;110000;160.1900000;160.3900000;158.8000000;158.9400000;4021390
GAZP;60;20190425;120000;158.9400000;160.4500000;158.9100000;160.2500000;2785520
GAZP;60;20190425;130000;160.2700000;160.6200000;159.7800000;160.6200000;2192880
GAZP;60;20190425;140000;160.6200000;160.9500000;160.3600000;160.3900000;1345450
GAZP;60;20190425;150000;160.3900000;160.7300000;159.8200000;160.5900000;1214180
GAZP;60;20190425;160000;160.6000000;160.8500000;159.9000000;160.0700000;1271750
GAZP;60;20190425;170000;160.0700000;160.2000000;159.4000000;159.5900000;1860590
GAZP;60;20190425;180000;159.5900000;159.9700000;158.8000000;159.1900000;3510240
GAZP;60;20190425;190000;159.2000000;159.4500000;158.9000000;159.3100000;3503450
GAZP;60;20190426;110000;159.0500000;159.9000000;158.5800000;159.8000000;2943320
GAZP;60;20190426;120000;159.8400000;160.0700000;158.7400000;159.2800000;1825340
GAZP;60;20190426;130000;159.2500000;159.4800000;158.7900000;159.0900000;769250
GAZP;60;20190426;140000;159.0700000;159.5200000;159.0000000;159.3800000;565700
GAZP;60;20190426;150000;159.4100000;160.4300000;159.1000000;160.0400000;1922770
GAZP;60;20190426;160000;160.0400000;160.6700000;159.1900000;160.6400000;1882120
GAZP;60;20190426;170000;160.6400000;161.0000000;159.7000000;159.8400000;2347290
GAZP;60;20190426;180000;159.8600000;160.3800000;159.3400000;159.7200000;2017740
GAZP;60;20190426;190000;159.7300000;161.0000000;159.6600000;161.0000000;3348030
GAZP;60;20190429;110000;161.2000000;163.4400000;160.6800000;163.0000000;6822290
GAZP;60;20190429;120000;163.0300000;163.7000000;162.2400000;162.7100000;3308620
GAZP;60;20190429;130000;162.7100000;162.9800000;161.8100000;162.5300000;2345890
GAZP;60;20190429;140000;162.5200000;162.9000000;162.1000000;162.8300000;1260090
GAZP;60;20190429;150000;162.8300000;163.2000000;162.4000000;162.7500000;1830570
GAZP;60;20190429;160000;162.7500000;163.0500000;162.6000000;162.8100000;1010140
GAZP;60;20190429;170000;162.8500000;162.8500000;161.8600000;161.9700000;2473030
GAZP;60;20190429;180000;161.9400000;164.7400000;161.8000000;164.2300000;8580610
GAZP;60;20190429;190000;164.2400000;164.4000000;163.5300000;163.9300000;3549110
GAZP;60;20190430;110000;164.0300000;164.1000000;163.0100000;163.1400000;3746580
GAZP;60;20190430;120000;163.2000000;164.5900000;163.0900000;164.4600000;4041340
GAZP;60;20190430;130000;164.4400000;165.1000000;164.3100000;164.6900000;4579920
GAZP;60;20190430;140000;164.6900000;165.2500000;164.5100000;165.1300000;2891380
GAZP;60;20190430;150000;165.0800000;165.4000000;164.7300000;164.9600000;2041330
GAZP;60;20190430;160000;164.9800000;165.3000000;164.9300000;164.9800000;1602500
GAZP;60;20190430;170000;164.9800000;165.0100000;164.1200000;164.4800000;2685290
GAZP;60;20190430;180000;164.4900000;164.6400000;164.2300000;164.4100000;2281550
GAZP;60;20190430;190000;164.4000000;164.4500000;163.0500000;163.9500000;7448590
GAZP;60;20190502;110000;163.6700000;166.2800000;163.6700000;166.0000000;5629740
GAZP;60;20190502;120000;166.0000000;166.1000000;165.5700000;165.9000000;2222170
GAZP;60;20190502;130000;165.8400000;166.3500000;165.8400000;166.2500000;1428100
GAZP;60;20190502;140000;166.2400000;166.4200000;166.1700000;166.3600000;1021760
GAZP;60;20190502;150000;166.3300000;166.4400000;166.0000000;166.3500000;752390
GAZP;60;20190502;160000;166.2800000;166.7500000;166.0400000;166.4900000;2675330
GAZP;60;20190502;170000;166.4900000;166.8500000;166.1100000;166.1300000;2458050
GAZP;60;20190502;180000;166.1100000;166.4500000;165.9300000;166.1900000;1719820
GAZP;60;20190502;190000;166.1900000;166.3500000;165.7100000;165.7100000;2780380
GAZP;60;20190503;110000;166.2100000;166.9800000;165.9100000;166.4200000;2414230
GAZP;60;20190503;120000;166.4300000;166.8000000;166.2500000;166.6800000;1970460
GAZP;60;20190503;130000;166.6800000;166.8800000;166.1200000;166.4200000;1397690
GAZP;60;20190503;140000;166.3900000;166.6600000;166.1600000;166.2600000;594840
GAZP;60;20190503;150000;166.2500000;166.6000000;166.1600000;166.2700000;375680
GAZP;60;20190503;160000;166.2700000;166.7000000;166.1800000;166.3700000;994610
GAZP;60;20190503;170000;166.3700000;166.6800000;165.8300000;166.2300000;2132600
GAZP;60;20190503;180000;166.2300000;166.7600000;166.0700000;166.6000000;1584070
GAZP;60;20190503;190000;166.5900000;166.7000000;166.2900000;166.3100000;1755940
GAZP;60;20190506;110000;164.9800000;165.0800000;163.6100000;164.6100000;4253720
GAZP;60;20190506;120000;164.6100000;164.6500000;163.4300000;163.5900000;2985940
GAZP;60;20190506;130000;163.5400000;164.2700000;163.3400000;164.2000000;1650430
GAZP;60;20190506;140000;164.2000000;164.4000000;163.8500000;164.1600000;751100
GAZP;60;20190506;150000;164.1600000;164.3600000;164.0400000;164.2900000;410400
GAZP;60;20190506;160000;164.2900000;164.3300000;163.8000000;164.0400000;1270900
GAZP;60;20190506;170000;163.9900000;164.6000000;163.8800000;164.5700000;1121680
GAZP;60;20190506;180000;164.6000000;164.9200000;164.4500000;164.7600000;985520
GAZP;60;20190506;190000;164.7600000;165.4500000;164.5000000;165.4500000;1983730
GAZP;60;20190507;110000;165.0100000;166.1700000;164.8900000;166.1300000;3977150
GAZP;60;20190507;120000;166.1400000;166.2700000;165.6800000;166.0000000;2196040
GAZP;60;20190507;130000;165.9700000;166.0000000;165.3200000;165.5800000;1519370
GAZP;60;20190507;140000;165.6000000;165.7200000;165.2000000;165.2600000;647500
GAZP;60;20190507;150000;165.2500000;165.9700000;165.2000000;165.4200000;1587370
GAZP;60;20190507;160000;165.4600000;165.4600000;165.0400000;165.0800000;1194370
GAZP;60;20190507;170000;165.0800000;165.7500000;165.0600000;165.5800000;1800820
GAZP;60;20190507;180000;165.5700000;165.6400000;164.6800000;164.7100000;3294200
GAZP;60;20190507;190000;164.6800000;165.0000000;164.2100000;164.2100000;3022640
GAZP;60;20190508;110000;164.4900000;165.1600000;163.7200000;164.8800000;2984990
GAZP;60;20190508;120000;164.8900000;165.4400000;164.1100000;164.1100000;1872220
GAZP;60;20190508;130000;164.1000000;164.3600000;163.5500000;163.8100000;2310500
GAZP;60;20190508;140000;163.8100000;164.3100000;163.7600000;164.1900000;931390
GAZP;60;20190508;150000;164.1800000;164.4000000;163.8400000;164.0300000;1726680
GAZP;60;20190508;160000;164.0500000;164.6100000;163.8300000;164.2300000;1170210
GAZP;60;20190508;170000;164.2300000;164.7100000;164.1600000;164.2700000;1325250
GAZP;60;20190508;180000;164.3600000;164.8100000;164.0600000;164.7600000;1600970
GAZP;60;20190508;190000;164.8000000;164.8400000;163.5700000;163.5700000;3942200
GAZP;60;20190510;110000;163.6100000;164.9000000;163.5100000;163.9200000;2877860
GAZP;60;20190510;120000;163.9500000;164.1600000;163.2700000;163.4900000;1696920
GAZP;60;20190510;130000;163.4900000;163.7500000;163.2000000;163.5800000;1739760
GAZP;60;20190510;140000;163.5900000;163.9500000;163.3000000;163.4400000;871320
GAZP;60;20190510;150000;163.4600000;163.8200000;163.3700000;163.7600000;773400
GAZP;60;20190510;160000;163.7500000;163.9000000;163.4300000;163.8100000;876230
GAZP;60;20190510;170000;163.8500000;163.9000000;163.1500000;163.2700000;1385910
GAZP;60;20190510;180000;163.3000000;163.3100000;162.6200000;163.2300000;3175460
GAZP;60;20190510;190000;163.2300000;163.9000000;163.2100000;163.6100000;2718640
GAZP;60;20190513;110000;163.5400000;164.1400000;163.1000000;163.8300000;2836380
GAZP;60;20190513;120000;163.8300000;163.9300000;163.4500000;163.5300000;1241010
GAZP;60;20190513;130000;163.5400000;164.2100000;163.5100000;164.1000000;1808980
GAZP;60;20190513;140000;164.1400000;164.3400000;163.8000000;164.1500000;1404400
GAZP;60;20190513;150000;164.1300000;164.2000000;163.7300000;163.8600000;1377100
GAZP;60;20190513;160000;163.9000000;164.1400000;163.3500000;163.4100000;1227270
GAZP;60;20190513;170000;163.3600000;163.4500000;163.0500000;163.4400000;1734770
GAZP;60;20190513;180000;163.4000000;163.5000000;163.0000000;163.0800000;2656030
GAZP;60;20190513;190000;163.0800000;163.4100000;163.0000000;163.0000000;2643950
GAZP;60;20190514;110000;163.0000000;163.6300000;162.9000000;163.1000000;2067980
GAZP;60;20190514;120000;163.1300000;163.6000000;162.9200000;163.4700000;1886740
GAZP;60;20190514;130000;163.4900000;163.5500000;163.0100000;163.2100000;1374740
GAZP;60;20190514;140000;163.2100000;163.3600000;162.9200000;163.0200000;1248840
GAZP;60;20190514;150000;163.0000000;163.1000000;162.6900000;162.8400000;1897860
GAZP;60;20190514;160000;162.8500000;178.0500000;162.6500000;177.9300000;34455580
GAZP;60;20190514;170000;177.8900000;182.7300000;177.0200000;180.7500000;49888310
GAZP;60;20190514;180000;180.7500000;189.0000000;180.7000000;186.9400000;54915000
